City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
5,Tomigusuku,JP,77.14,broken clouds,26.185,127.675,Hotel Gran View Okinawa
7,San Patricio,US,84.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
13,Hami,CN,77.56,clear sky,42.8,93.45,Laoyutang Resort
17,Buchanan,LR,76.73,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
19,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
21,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Ixtapa,MX,78.22,clear sky,20.7,-105.2,hotel la terminal
28,Canoa,DO,76.82,broken clouds,18.355,-71.1585,Col julia
35,Victoria,HK,80.94,few clouds,22.2855,114.1577,Mini Central
36,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
45,Atuona,PF,77.63,clear sky,-9.8,-139.0333,Villa Enata
49,Vaini,TO,76.66,overcast clouds,-21.2,-175.2,Keleti Beach Resort
54,Murgab,TM,76.32,clear sky,37.4966,61.9714,Wepa Nurlyýew
60,Am Timan,TD,83.08,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
62,Iberia,US,83.05,broken clouds,29.9502,-91.7507,back to back rv park
66,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
67,Bengkulu,ID,79.2,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
80,Hamilton,US,82.49,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
82,Butaritari,KI,81.09,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
85,Acarau,BR,77.59,broken clouds,-2.8856,-40.12,castelo pizzaria
86,Ambulu,ID,79.38,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
87,San Cristobal,VE,75.38,few clouds,7.7669,-72.225,Pirineos
90,Tucupita,VE,75.67,clear sky,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
91,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
94,Pak Phanang,TH,81.37,overcast clouds,8.3511,100.202,Green Park Inn Hotel
97,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
99,Kulhudhuffushi,MV,83.01,broken clouds,6.6221,73.07,Haajy Guest House 1
111,Buala,SB,82.92,light rain,-8.145,159.5921,Maringe Lagoon Lodge
114,Samana,DO,77.86,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
119,Namatanai,PG,84.94,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
122,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
128,Bandarbeyla,SO,79.99,overcast clouds,9.4942,50.8122,JABIR HOTEL
129,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
130,Gat,IL,81.39,overcast clouds,31.61,34.7642,OlusHome
132,Hithadhoo,MV,82.54,few clouds,-0.6,73.0833,Scoop Guest House
133,Half Moon Bay,US,77.88,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
143,San Francisco,US,83.32,few clouds,37.7749,-122.4194,Edwardian Hotel
146,Dingle,PH,79.25,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
153,Burla,IN,87.75,clear sky,21.5,83.8667,VSSUT Guest House
