City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
0,Abu Samrah,35.3029,37.1841,63.19,29,0,6.53,SY,2022-05-21 01:05:46,clear sky
1,Anadyr,64.75,177.4833,35.01,80,63,5.99,RU,2022-05-21 01:05:46,broken clouds
2,Bayan,46.0833,127.4,70.21,48,22,11.59,CN,2022-05-21 01:05:47,few clouds
3,Albany,42.6001,-73.9662,69.57,79,100,1.01,US,2022-05-21 01:04:08,overcast clouds
4,Bredasdorp,-34.5322,20.0403,50.07,83,14,6.08,ZA,2022-05-21 01:05:47,few clouds
5,Tomigusuku,26.185,127.675,77.14,88,75,12.66,JP,2022-05-21 01:05:48,broken clouds
6,Rikitea,-23.1203,-134.9692,73.99,78,14,7.29,PF,2022-05-21 01:02:31,light rain
7,San Patricio,28.017,-97.5169,84.29,74,0,22.08,US,2022-05-21 01:05:49,clear sky
8,Pevek,69.7008,170.3133,33.35,97,82,4.65,RU,2022-05-21 01:05:49,broken clouds
9,Aykhal,66.0,111.5,38.05,84,100,2.82,RU,2022-05-21 01:05:49,overcast clouds
10,Ilulissat,69.2167,-51.1,33.82,80,75,0.0,GL,2022-05-21 01:05:50,broken clouds
11,Elkhotovo,43.3442,44.2011,43.29,83,6,5.84,RU,2022-05-21 01:05:50,clear sky
12,Shingu,33.7333,135.9833,60.75,94,100,8.66,JP,2022-05-21 01:05:51,light rain
13,Hami,42.8,93.45,77.56,25,2,9.57,CN,2022-05-21 01:05:51,clear sky
14,Amasya,40.6667,35.8333,40.68,78,0,2.33,TR,2022-05-21 01:05:52,clear sky
15,Kodiak,57.79,-152.4072,45.91,81,100,19.57,US,2022-05-21 01:05:52,overcast clouds
16,Hermanus,-34.4187,19.2345,56.84,74,42,5.03,ZA,2022-05-21 01:03:54,scattered clouds
17,Buchanan,5.8808,-10.0467,76.73,90,100,6.29,LR,2022-05-21 01:05:53,moderate rain
18,Longyearbyen,78.2186,15.6401,33.64,80,75,4.61,SJ,2022-05-21 01:03:10,broken clouds
19,Hilo,19.7297,-155.09,84.27,71,75,9.22,US,2022-05-21 01:05:03,broken clouds
20,Yellowknife,62.456,-114.3525,57.56,26,34,15.01,CA,2022-05-21 01:01:27,scattered clouds
21,Kapaa,22.0752,-159.319,80.58,88,75,14.97,US,2022-05-21 01:05:54,broken clouds
22,Sitia,35.2,26.0986,64.98,81,0,9.66,GR,2022-05-21 01:05:54,clear sky
23,Bluff,-46.6,168.3333,47.91,74,99,35.03,NZ,2022-05-21 01:05:55,overcast clouds
24,Bereda,43.2686,-7.5406,57.58,98,98,4.81,ES,2022-05-21 01:05:56,overcast clouds
25,Ushuaia,-54.8,-68.3,41.31,94,100,6.42,AR,2022-05-21 01:02:28,overcast clouds
26,Borogontsy,62.6683,131.1683,49.48,64,99,4.21,RU,2022-05-21 01:05:56,overcast clouds
27,Ixtapa,20.7,-105.2,78.22,69,0,9.22,MX,2022-05-21 01:05:57,clear sky
28,Canoa,18.355,-71.1585,76.82,85,65,4.25,DO,2022-05-21 01:05:57,broken clouds
29,Wajima,37.4,136.9,67.55,58,100,2.89,JP,2022-05-21 01:05:57,overcast clouds
30,Birjand,32.8663,59.2211,68.29,25,0,4.38,IR,2022-05-21 01:05:58,clear sky
31,Castro,-24.7911,-50.0119,43.61,86,0,3.0,BR,2022-05-21 01:01:25,clear sky
32,Busselton,-33.65,115.3333,60.53,67,2,10.02,AU,2022-05-21 01:05:59,clear sky
33,La Primavera,5.4906,-70.4092,74.64,89,100,0.87,CO,2022-05-21 01:05:59,overcast clouds
34,East London,-33.0153,27.9116,61.75,71,100,8.5,ZA,2022-05-21 01:05:59,overcast clouds
35,Victoria,22.2855,114.1577,80.94,82,22,1.99,HK,2022-05-21 01:06:00,few clouds
36,Cartagena,10.3997,-75.5144,83.82,79,75,3.44,CO,2022-05-21 01:06:00,broken clouds
37,Jamestown,42.097,-79.2353,74.79,86,0,13.8,US,2022-05-21 01:04:09,clear sky
38,Thompson,55.7435,-97.8558,37.56,70,75,11.5,CA,2022-05-21 01:06:01,broken clouds
39,Tasiilaq,65.6145,-37.6368,35.76,81,0,5.57,GL,2022-05-21 01:06:01,clear sky
40,Galdar,28.147,-15.6502,68.5,80,11,13.85,ES,2022-05-21 01:06:02,few clouds
41,Wladyslawowo,54.7909,18.4009,55.0,94,100,2.95,PL,2022-05-21 01:06:02,overcast clouds
42,Cape Town,-33.9258,18.4232,55.11,87,33,3.0,ZA,2022-05-21 01:04:17,scattered clouds
43,Ponta Do Sol,32.6667,-17.1,66.7,81,0,3.51,PT,2022-05-21 01:06:03,clear sky
44,Todos Santos,23.45,-110.2167,65.44,76,0,9.31,MX,2022-05-21 01:06:03,clear sky
45,Atuona,-9.8,-139.0333,77.63,66,0,8.95,PF,2022-05-21 01:05:00,clear sky
46,Tiksi,71.6872,128.8694,32.4,87,100,6.31,RU,2022-05-21 01:06:04,overcast clouds
47,Colac,-38.3333,143.5833,56.17,67,0,4.38,AU,2022-05-21 01:07:04,clear sky
48,Punta Arenas,-53.15,-70.9167,42.12,93,100,5.82,CL,2022-05-21 01:02:33,light rain
49,Vaini,-21.2,-175.2,76.66,71,100,11.14,TO,2022-05-21 01:07:05,overcast clouds
50,Port Alfred,-33.5906,26.891,61.54,69,100,4.59,ZA,2022-05-21 01:03:53,overcast clouds
51,Huallanca,-9.8993,-76.9417,48.27,84,100,1.81,PE,2022-05-21 01:07:06,overcast clouds
52,Dawson Creek,55.7666,-120.2362,48.07,37,83,4.65,CA,2022-05-21 01:07:06,broken clouds
53,Ribeira Grande,38.5167,-28.7,63.91,97,100,9.84,PT,2022-05-21 01:07:07,light rain
54,Murgab,37.4966,61.9714,76.32,20,0,7.0,TM,2022-05-21 01:07:07,clear sky
55,Taksimo,56.3444,114.8794,57.09,51,92,1.68,RU,2022-05-21 01:07:08,overcast clouds
56,Awbari,26.5921,12.7805,71.31,36,0,16.28,LY,2022-05-21 01:07:08,clear sky
57,Cangucu,-31.395,-52.6756,44.19,92,4,3.74,BR,2022-05-21 01:07:09,clear sky
58,Hobart,-42.8794,147.3294,50.25,85,75,11.5,AU,2022-05-21 01:06:31,broken clouds
59,Honningsvag,70.9821,25.9704,40.75,70,100,11.5,NO,2022-05-21 01:07:09,overcast clouds
60,Am Timan,11.0297,20.2827,83.08,54,100,11.39,TD,2022-05-21 01:07:10,overcast clouds
61,New Norfolk,-42.7826,147.0587,49.91,80,9,1.83,AU,2022-05-21 01:07:10,clear sky
62,Iberia,29.9502,-91.7507,83.05,74,75,17.27,US,2022-05-21 01:07:11,broken clouds
63,Sahbuz,39.4072,45.5739,42.4,71,26,2.13,AZ,2022-05-21 01:07:11,scattered clouds
64,Narsaq,60.9167,-46.05,43.02,76,8,1.36,GL,2022-05-21 01:07:12,clear sky
65,Krasnorechenskiy,44.6265,135.3532,68.61,46,5,6.53,RU,2022-05-21 01:07:12,clear sky
66,Georgetown,5.4112,100.3354,84.13,79,20,0.0,MY,2022-05-21 01:02:19,few clouds
67,Bengkulu,-3.8004,102.2655,79.2,77,65,3.87,ID,2022-05-21 01:07:13,broken clouds
68,Dikson,73.5069,80.5464,27.57,89,98,5.93,RU,2022-05-21 01:07:14,overcast clouds
69,Port Elizabeth,-33.918,25.5701,56.1,99,100,4.61,ZA,2022-05-21 01:07:14,moderate rain
70,Dodola,6.9833,39.1833,52.11,82,100,1.61,ET,2022-05-21 01:07:15,overcast clouds
71,Villarrica,-25.75,-56.4333,48.61,84,0,4.45,PY,2022-05-21 01:07:15,clear sky
72,Guiyang,26.5833,106.7167,63.03,78,99,3.71,CN,2022-05-21 01:07:16,overcast clouds
73,Yulara,-25.2406,130.9889,63.57,45,76,13.11,AU,2022-05-21 01:07:16,broken clouds
74,Saldanha,-33.0117,17.9442,57.99,76,13,10.8,ZA,2022-05-21 01:07:17,few clouds
75,Puerto Ayora,-0.7393,-90.3518,72.55,97,3,1.01,EC,2022-05-21 01:07:17,clear sky
76,Nikolskoye,59.7035,30.7861,40.89,77,83,5.17,RU,2022-05-21 01:07:17,broken clouds
77,Carnarvon,-24.8667,113.6333,70.43,52,1,7.54,AU,2022-05-21 01:07:08,clear sky
78,Shu,43.5983,73.7614,67.19,64,100,3.94,KZ,2022-05-21 01:07:18,overcast clouds
79,Vila Velha,-20.3297,-40.2925,64.35,88,20,2.3,BR,2022-05-21 01:04:53,few clouds
80,Hamilton,39.1834,-84.5333,82.49,63,0,18.41,US,2022-05-21 01:03:20,clear sky
81,Qaanaaq,77.484,-69.3632,12.49,89,93,3.89,GL,2022-05-21 01:07:19,overcast clouds
82,Butaritari,3.0707,172.7902,81.09,73,87,14.63,KI,2022-05-21 01:07:20,overcast clouds
83,Tazovskiy,67.4667,78.7,35.13,98,100,2.75,RU,2022-05-21 01:07:20,overcast clouds
84,Leningradskiy,69.3833,178.4167,33.58,97,87,9.55,RU,2022-05-21 01:07:20,overcast clouds
85,Acarau,-2.8856,-40.12,77.59,84,80,5.01,BR,2022-05-21 01:07:21,broken clouds
86,Ambulu,-8.345,113.6058,79.38,82,100,1.16,ID,2022-05-21 01:07:21,overcast clouds
87,San Cristobal,7.7669,-72.225,75.38,89,18,2.48,VE,2022-05-21 01:07:22,few clouds
88,Oktyabrskoye,43.0645,44.7417,39.34,93,8,6.71,RU,2022-05-21 01:07:23,clear sky
89,Murray Bridge,-35.1167,139.2667,53.82,52,98,8.16,AU,2022-05-21 01:08:23,overcast clouds
90,Tucupita,9.0622,-62.051,75.67,80,0,5.77,VE,2022-05-21 01:08:24,clear sky
91,Bathsheba,13.2167,-59.5167,81.21,78,40,19.57,BB,2022-05-21 01:08:24,scattered clouds
92,Vagur,61.4732,-6.8119,47.98,92,100,12.95,FO,2022-05-21 01:08:25,overcast clouds
93,Ofaqim,31.3141,34.6203,73.67,30,98,3.71,IL,2022-05-21 01:08:25,overcast clouds
94,Pak Phanang,8.3511,100.202,81.37,82,100,12.03,TH,2022-05-21 01:08:25,overcast clouds
95,Mataura,-46.1927,168.8643,43.81,90,100,14.99,NZ,2022-05-21 01:08:26,overcast clouds
96,Evensk,61.95,159.2333,45.0,66,75,16.44,RU,2022-05-21 01:08:26,broken clouds
97,Cabo San Lucas,22.8909,-109.9124,80.62,61,0,12.66,MX,2022-05-21 01:04:47,clear sky
98,Marquette,46.5333,-87.6335,56.64,90,74,5.32,US,2022-05-21 01:04:58,broken clouds
99,Kulhudhuffushi,6.6221,73.07,83.01,77,66,15.41,MV,2022-05-21 01:08:27,broken clouds
100,Albert,50.0009,2.651,54.79,92,0,9.22,FR,2022-05-21 01:08:28,clear sky
101,Katangli,51.7102,143.2326,33.76,96,100,14.12,RU,2022-05-21 01:08:28,light snow
102,Barrow,71.2906,-156.7887,30.22,93,100,12.66,US,2022-05-21 01:08:29,overcast clouds
103,Norman Wells,65.282,-126.8329,56.14,51,83,12.88,CA,2022-05-21 01:08:29,broken clouds
104,Avera,33.194,-82.5271,80.11,51,94,3.27,US,2022-05-21 01:08:30,overcast clouds
105,Sao Filipe,14.8961,-24.4956,73.15,76,100,13.09,CV,2022-05-21 01:08:30,overcast clouds
106,Fortuna,40.5982,-124.1573,61.86,73,0,18.41,US,2022-05-21 01:08:31,clear sky
107,Herat,34.5,62.0,65.71,28,0,4.74,AF,2022-05-21 01:08:31,clear sky
108,Esso,55.9333,158.7,37.51,100,100,6.04,RU,2022-05-21 01:08:32,overcast clouds
