City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokwe,MZ,2022-05-18 20:23:30,-24.5333,32.9833,66.96,78,37,5.14
1,Ahipara,NZ,2022-05-18 20:23:31,-35.1667,173.1667,64.62,95,100,13.82
2,Agua Verde,MX,2022-05-18 20:23:31,22.9,-106.05,82.49,64,76,10.69
3,Dikson,RU,2022-05-18 20:23:32,73.5069,80.5464,30.67,94,100,11.1
4,Lhokseumawe,ID,2022-05-18 20:23:32,5.1801,97.1507,78.53,86,100,3.06
5,Ponta Do Sol,PT,2022-05-18 20:23:33,32.6667,-17.1,70.72,82,42,4.97
6,Chokurdakh,RU,2022-05-18 20:23:33,70.6333,147.9167,28.54,91,100,4.41
7,Bluff,NZ,2022-05-18 20:23:34,-46.6,168.3333,49.8,86,95,11.68
8,Mataura,NZ,2022-05-18 20:23:34,-46.1927,168.8643,49.48,98,92,1.99
9,Punta Arenas,CL,2022-05-18 20:23:36,-53.15,-70.9167,46.51,76,20,4.61
10,Tuktoyaktuk,CA,2022-05-18 20:23:36,69.4541,-133.0374,32.0,93,100,12.66
11,Douglas,US,2022-05-18 20:23:37,41.3,-96.167,83.39,48,0,6.91
12,Bethel,US,2022-05-18 20:23:37,41.3712,-73.414,73.02,35,0,5.75
13,Busselton,AU,2022-05-18 20:23:37,-33.65,115.3333,61.93,81,97,2.89
14,Yellowknife,CA,2022-05-18 20:19:56,62.456,-114.3525,52.32,25,20,13.8
15,Teluknaga,ID,2022-05-18 20:23:38,-6.0989,106.6381,79.63,100,40,2.3
16,Ushuaia,AR,2022-05-18 20:23:38,-54.8,-68.3,44.26,70,20,2.3
17,Port Alfred,ZA,2022-05-18 20:23:39,-33.5906,26.891,72.91,43,39,11.14
18,Puerto Ayora,EC,2022-05-18 20:23:39,-0.7393,-90.3518,85.96,90,86,4.0
19,El Retorno,CO,2022-05-18 20:23:40,2.3302,-72.6276,70.83,99,100,5.01
20,West Plains,US,2022-05-18 20:23:40,36.7281,-91.8524,86.83,65,20,4.61
21,Vaini,TO,2022-05-18 20:23:41,-21.2,-175.2,75.36,83,20,8.05
22,Kapaa,US,2022-05-18 20:23:41,22.0752,-159.319,78.78,95,40,19.57
23,Filadelfia,US,2022-05-18 20:20:54,39.9523,-75.1638,75.15,38,75,9.22
24,La Roda,ES,2022-05-18 20:23:42,39.2167,-2.15,76.91,54,54,15.7
25,Goma,CD,2022-05-18 20:23:42,-1.6792,29.2228,64.22,90,99,2.13
26,Cam Ranh,VN,2022-05-18 20:20:27,11.9214,109.1591,78.76,89,40,3.44
27,Biak,ID,2022-05-18 20:23:43,-0.9131,122.8766,75.51,89,99,4.52
28,Arraial Do Cabo,BR,2022-05-18 20:23:43,-22.9661,-42.0278,69.66,43,0,11.5
29,Champerico,GT,2022-05-18 20:23:44,14.3,-91.9167,90.14,64,97,10.02
30,Fuzhou,CN,2022-05-18 20:23:44,26.0614,119.3061,69.69,69,100,3.04
31,Barrow,US,2022-05-18 20:23:45,71.2906,-156.7887,17.62,86,100,13.8
